id,zipcode,name,city_id
colony_aguascalientes_valle_real,20118,Valle Real,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_terzetto,20118,Terzetto,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_cerrada_de_la_misión,20118,Cerrada de La Misión,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_cerrada_del_valle,20118,Cerrada del Valle,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_cerrada_de_la_mezquitera,20118,Cerrada de la Mezquitera,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_lomas_del_campestre_2a_sección,20119,Lomas del Campestre 2a Sección,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villas_del_campestre,20119,Villas del Campestre,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_jardines_de_la_concepción,20120,Jardines de la Concepción,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_los_bosques,20120,Los Bosques,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_rinconada_los_bosques,20120,Rinconada los Bosques,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_la_perla_norte,20123,La Perla Norte,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_arroyo_el_molino,20123,Arroyo El Molino,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_galerías,20124,Galerías,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_residencial_altaria,20124,Residencial Altaria,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_constitución,20126,Constitución,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_libertad,20126,Libertad,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_pozo_bravo_norte,20126,Pozo Bravo Norte,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_soberana_convención_revolucionaria,20126,Soberana Convención Revolucionaria,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villa_montaña,20126,Villa Montaña,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_villas_de_don_antonio,20126,Villas de Don Antonio,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_los_ángeles,20126,Los Ángeles,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_capittala,20126,Capittala,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_recinto_de_la_macarena,20126,Recinto de la Macarena,solt_l10n_mx_partner_address.res_city_mx_agu_001
colony_aguascalientes_nápoli,20126,Nápoli,solt_l10n_mx_partner_address.res_city_mx_agu_001
